year,city,country,avg_temp
1849,Oakland,United States,14.12
1850,Oakland,United States,13.80
1851,Oakland,United States,14.39
1852,Oakland,United States,13.81
1853,Oakland,United States,14.40
1854,Oakland,United States,13.98
1855,Oakland,United States,14.20
1856,Oakland,United States,14.10
1857,Oakland,United States,14.78
1858,Oakland,United States,14.19
1859,Oakland,United States,13.71
1860,Oakland,United States,13.81
1861,Oakland,United States,14.88
1862,Oakland,United States,14.43
1863,Oakland,United States,14.43
1864,Oakland,United States,15.18
1865,Oakland,United States,14.32
1866,Oakland,United States,14.67
1867,Oakland,United States,14.46
1868,Oakland,United States,14.25
1869,Oakland,United States,14.57
1870,Oakland,United States,14.19
1871,Oakland,United States,14.34
1872,Oakland,United States,14.63
1873,Oakland,United States,14.46
1874,Oakland,United States,14.09
1875,Oakland,United States,14.76
1876,Oakland,United States,14.44
1877,Oakland,United States,15.03
1878,Oakland,United States,14.37
1879,Oakland,United States,14.20
1880,Oakland,United States,13.22
1881,Oakland,United States,14.39
1882,Oakland,United States,13.58
1883,Oakland,United States,13.93
1884,Oakland,United States,14.05
1885,Oakland,United States,15.05
1886,Oakland,United States,14.58
1887,Oakland,United States,14.38
1888,Oakland,United States,14.70
1889,Oakland,United States,14.81
1890,Oakland,United States,14.05
1891,Oakland,United States,14.46
1892,Oakland,United States,14.05
1893,Oakland,United States,13.40
1894,Oakland,United States,13.80
1895,Oakland,United States,13.95
1896,Oakland,United States,14.22
1897,Oakland,United States,13.81
1898,Oakland,United States,13.77
1899,Oakland,United States,14.04
1900,Oakland,United States,14.64
1901,Oakland,United States,14.34
1902,Oakland,United States,14.07
1903,Oakland,United States,14.12
1904,Oakland,United States,14.50
1905,Oakland,United States,14.39
1906,Oakland,United States,14.81
1907,Oakland,United States,14.34
1908,Oakland,United States,14.01
1909,Oakland,United States,14.05
1910,Oakland,United States,14.17
1911,Oakland,United States,13.46
1912,Oakland,United States,13.95
1913,Oakland,United States,14.38
1914,Oakland,United States,14.33
1915,Oakland,United States,14.30
1916,Oakland,United States,13.61
1917,Oakland,United States,14.06
1918,Oakland,United States,14.14
1919,Oakland,United States,13.60
1920,Oakland,United States,13.72
1921,Oakland,United States,14.24
1922,Oakland,United States,13.61
1923,Oakland,United States,14.13
1924,Oakland,United States,14.10
1925,Oakland,United States,14.34
1926,Oakland,United States,15.14
1927,Oakland,United States,14.24
1928,Oakland,United States,14.32
1929,Oakland,United States,14.25
1930,Oakland,United States,14.25
1931,Oakland,United States,14.93
1932,Oakland,United States,14.24
1933,Oakland,United States,13.93
1934,Oakland,United States,15.31
1935,Oakland,United States,14.12
1936,Oakland,United States,15.13
1937,Oakland,United States,14.36
1938,Oakland,United States,14.35
1939,Oakland,United States,14.81
1940,Oakland,United States,15.12
1941,Oakland,United States,14.98
1942,Oakland,United States,14.20
1943,Oakland,United States,14.72
1944,Oakland,United States,14.17
1945,Oakland,United States,14.41
1946,Oakland,United States,13.83
1947,Oakland,United States,14.51
1948,Oakland,United States,13.65
1949,Oakland,United States,13.90
1950,Oakland,United States,14.66
1951,Oakland,United States,14.06
1952,Oakland,United States,14.11
1953,Oakland,United States,14.42
1954,Oakland,United States,14.18
1955,Oakland,United States,13.74
1956,Oakland,United States,14.08
1957,Oakland,United States,14.59
1958,Oakland,United States,15.41
1959,Oakland,United States,15.39
1960,Oakland,United States,14.59
1961,Oakland,United States,14.65
1962,Oakland,United States,14.22
1963,Oakland,United States,14.19
1964,Oakland,United States,14.24
1965,Oakland,United States,14.14
1966,Oakland,United States,14.74
1967,Oakland,United States,14.50
1968,Oakland,United States,14.66
1969,Oakland,United States,14.51
1970,Oakland,United States,14.76
1971,Oakland,United States,13.89
1972,Oakland,United States,14.25
1973,Oakland,United States,14.58
1974,Oakland,United States,14.41
1975,Oakland,United States,13.82
1976,Oakland,United States,14.72
1977,Oakland,United States,14.63
1978,Oakland,United States,14.96
1979,Oakland,United States,14.99
1980,Oakland,United States,14.74
1981,Oakland,United States,15.22
1982,Oakland,United States,14.00
1983,Oakland,United States,15.07
1984,Oakland,United States,14.97
1985,Oakland,United States,14.23
1986,Oakland,United States,15.00
1987,Oakland,United States,14.95
1988,Oakland,United States,15.08
1989,Oakland,United States,14.45
1990,Oakland,United States,14.73
1991,Oakland,United States,14.50
1992,Oakland,United States,15.53
1993,Oakland,United States,14.97
1994,Oakland,United States,14.21
1995,Oakland,United States,15.31
1996,Oakland,United States,15.56
1997,Oakland,United States,15.75
1998,Oakland,United States,14.38
1999,Oakland,United States,14.41
2000,Oakland,United States,15.02
2001,Oakland,United States,15.25
2002,Oakland,United States,15.00
2003,Oakland,United States,15.43
2004,Oakland,United States,15.37
2005,Oakland,United States,15.17
2006,Oakland,United States,15.02
2007,Oakland,United States,14.94
2008,Oakland,United States,15.05
2009,Oakland,United States,15.02
2010,Oakland,United States,14.67
2011,Oakland,United States,14.50
2012,Oakland,United States,15.05
2013,Oakland,United States,16.23
